thesaurus,keyword,type
CAP LTER IRT,urban climate and air quality,theme
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,temperature,theme
LTER controlled vocabulary,LiDAR,theme
LTER core areas,land use and land cover change,theme
LTER core areas,human-environment interactions,theme
Creator Defined Keyword Set,mean radiant temperature,theme
Creator Defined Keyword Set,human thermal exposure,theme
Creator Defined Keyword Set,solweig,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
